国家,中国,中国,中国,中国,中国,中国,中国,中国,中国
指标名称,深圳:成交均价:碳排放权(SZA),深圳:当日成交量:碳排放权(SZA),深圳:累计成交量:碳排放权(SZA),深圳:累计成交额:碳排放权(SZA),深圳:收盘价:碳排放权(SZA),深圳:当日成交额:碳排放权(SZA),深圳:碳排放权(CCER):当日成交量,深圳:碳排放权(CCER):成交均价,深圳:碳排放权(CCER):当日成交额
频率,日,日,日,日,日,日,日,日,日
单位,元/吨,吨,吨,元,元/吨,元,吨,元/吨,元
指标ID,S6301300,S6301301,S6301303,S6301304,S6301299,S6301302,L8007779,K0235725,F0284076
时间区间,2013-06-18:2026-01-08,2013-06-18:2026-01-08,2013-06-18:2026-01-12,2013-06-18:2026-01-12,2013-06-18:2026-01-12,2013-06-18:2026-01-08,2015-04-27:2025-01-14,2015-06-15:2025-01-14,2015-06-15:2025-01-14
来源,深圳绿色交易所有限公司,深圳绿色交易所有限公司,深圳绿色交易所有限公司,深圳绿色交易所有限公司,深圳绿色交易所有限公司,深圳绿色交易所有限公司,深圳碳排放交易所,深圳碳排放交易所,深圳碳排放交易所
2022-06-29,35.63,3003,51363870,1.21736345968E9,34,107008,5000,,
2022-06-30,36.85,6254,51370124,1.21759393768E9,37.4,230478,,,
2022-07-01,37.27,6646,51376770,1.21784165488E9,38.5,247717.2,,,
2022-07-02,,,51376770,1.21784165488E9,,,,,
2022-07-03,,,51376770,1.21784165488E9,,,,,
2022-07-04,38.18,1145,51377915,1.21788537038E9,37.01,43715.5,5000,,
2022-07-05,37.2,803,51378718,1.2179152395E9,35.06,29869.12,5000,,
2022-07-06,36.53,1055,51379773,1.21795377448E9,36.98,38534.98,,,
2022-07-07,33.54,1,51379774,1.21795380802E9,33.54,33.54,,,
2022-07-08,,,51379774,1.21795380802E9,,,5000,,
2022-07-09,,,51379774,1.21795380802E9,,,,,
2022-07-10,,,51379774,1.21795380802E9,,,,,
2022-07-11,,,51379774,1.21795380802E9,,,,,
2022-07-12,36.89,3280,51383054,1.21807480722E9,36.89,120999.2,5000,,
2022-07-13,37.12,1352,51384406,1.21812499318E9,36.52,50185.96,,,
2022-07-14,39.94,407,51384813,1.21814124974E9,34.29,16256.56,,,
2022-07-15,42.21,25200,51410013,1.21920483374E9,37.72,1063584,5000,,
2022-07-16,,,51410013,1.21920483374E9,,,,,
2022-07-17,,,51410013,1.21920483374E9,,,,,
2022-07-18,39.73,1845,51411858,1.21927813489E9,36.51,73301.15,,,
2022-07-19,38.94,2799,51414657,1.21938712319E9,37.04,108988.3,,,
2022-07-20,38.2,8427,51423084,1.21970899805E9,38.28,321874.86,,,
2022-07-21,38.7,116,51423200,1.21971348772E9,38.8,4489.67,,,
2022-07-22,39.11,3078,51426278,1.21983385576E9,38.88,120368.04,,,
2022-07-23,,,51426278,1.21983385576E9,,,,,
2022-07-24,,,51426278,1.21983385576E9,,,,,
2022-07-25,38.94,3560,51429838,1.21997248272E9,39,138626.96,,,
2022-07-26,38.92,2751,51432589,1.22007956166E9,38.5,107078.94,,,
2022-07-27,38.2,2896,51435485,1.22019018904E9,38.2,110627.38,,,
2022-07-28,38.16,10264,51445749,1.22058190235E9,39,391713.31,,,
